Question,Op1,Op2,Op3,Op4,Correct_Answer
Which of the following best describes “Agile”,It is a management style,Process that defines iterative development,Mindset with focus on the ability to respond to change,Process where developers can do anything,Op2
Pick the option which is not a value defined in agile manifesto,Individuals and interactions over processes and tools,Working software over comprehensive documentation,       Iterative development over one large delivery,       Responding to change over following a plan,Op3
What is the highest priority as per Agile principles,       Build projects around motivated individuals,       Satisfy the customer through early and continuous delivery of valuable software,       Continuous attention to technical excellence,       Welcome changing requirements,Op1
Which of the following is the most commonly used Agile methodology,       Kanban,       Lean,       XP,       Scrum,Op3
Which of the following Scrum artifact gives a complete list of features needed for product:,       Requirement document,       Sprint backlog,       Product Backlog,       Release Planning,Op4
Identify role which is not defined in Scrum roles:,       Product Owner,Scrum Master,       Development Team,       Project Manager,Op2
Which of the following is not a scrum ceremony:,       Daily Scrum,       Sprint Planning,       Sprint Review,       Weekly Sprint Metrics Review,Op1
What is the best measure of progress for completed syst. Development?, Prioritized backlog,Inspect and adopt,System demo,Iteration review,Op2
Scrum is a formation of players from:,       Football,       Cricket,       Rugby,       Baseball,Op2
Based on feedback a Scrum team has identified that they need rigorous code review before release.  Which Scrum artifact should the team update to ensure this culture is followed:",       Project Plan,       Release Plan,       Definition of Done,       Scrum does not require any documentation,Op3
Team A has a velocity of 50 Story points while Team B has a velocity of 40 Story points.  Which of the following is a true statement:,       Team A is more efficient than team B,       Team B is more efficient than team A,       Velocity helps individual teams to plan their next sprint,       Team B can improve velocity by adding one developer,Op1
"At the end of PI planning after dependencies are resolved and risks are addressed, a confidence vote is taken. What is the default method?",Fist of five,Roman voting,Majority voting,Planning poker,Op2
What is a key purpose of DevOps?,Joins development and operations to enable CD,Focuses on a set of practices applied to large systems,Enables architectural runway,Primarily about test automation,Op4
Why is it important to decouple deployment from release?,To release only on a cadence,To deploy only on a cadence,To enable deploying upon demand,To enable releasing upon demand,Op2